"","x"
"1",0.900280476348029
"2",0.814460925727338
"3",0.918731505787669
"4",0.93874450461823
"5",0.952909415231521
"6",0.872193465494756
"7",0.825019453831192
"8",0.938006248089019
"9",0.974804024033639
"10",0.960458509888008
"11",0.992065013884659
"12",0.855006746217631
"13",0.935354741166641
"14",0.923790971838553
"15",0.925923782524008
"16",0.941973124990262
"17",0.988876094149999
"18",0.957514582084493
"19",0.963176033354647
"20",0.916415340828316
"21",0.965298364486829
"22",0.884635435947644
"23",0.933894996252806
"24",0.905631743419197
"25",0.962507040685251
"26",0.987568984805256
"27",0.911435308853191
"28",0.931048554093322
"29",0.775399314513663
"30",0.935996525009864
"31",0.955092172318812
"32",0.929243410175618
"33",0.957628348973107
"34",0.990423998172075
"35",0.945452303742125
"36",0.924431473993398
"37",0.977717872838641
"38",0.959837085028907
"39",0.91663564846981
"40",0.936579929150355
"41",0.990702887162997
"42",0.879780619439982
"43",0.994671430260846
"44",0.993288004905752
"45",0.95107510043101
"46",0.890214840109944
"47",0.988529126799209
"48",0.945716295650202
"49",0.899637524997104
"50",0.982457947598969
"51",0.983359231441704
"52",0.994620441758808
"53",0.976459992573987
"54",0.988790606064951
"55",0.971775890065105
"56",0.883708599677226
"57",0.894890820889033
"58",0.872863578170152
"59",0.588539964282735
"60",0.990778655653954
"61",0.994377917296459
"62",0.956249111312333
"63",0.97693219445695
"64",0.990524929054982
"65",0.983964092406529
"66",0.980947401473922
"67",0.854950584230591
"68",0.980182335063267
"69",0.99607687787362
"70",0.967792879497078
"71",0.945964284964014
"72",0.958664941955663
"73",0.985883704591623
"74",0.951976246190868
"75",0.953679201303333
"76",0.972631078430818
"77",0.992269722453486
"78",0.979049110383413
"79",0.971434522809707
"80",0.931625087812017
"81",0.960043995372712
"82",0.909796181647359
"83",0.959955806786724
"84",0.978889844567343
"85",0.953497947748887
"86",0.951722160793735
"87",0.790051356062085
"88",0.573105963730075
"89",0.983539605907217
"90",0.936459713030674
"91",0.910568211553968
"92",0.920328581369924
"93",0.937830399721977
"94",0.95343960680088
"95",0.850129671905052
"96",0.969010653693629
"97",0.955796947243782
"98",0.89420182923131
"99",0.91885395966833
"100",0.838898990134748
"101",0.898976497270336
"102",0.800886563667284
"103",0.801833386770227
"104",0.793289772347319
"105",0.765396188429614
"106",0.774182799906709
"107",0.820199161215483
"108",0.771613194396926
"109",0.720227236542608
"110",0.804517494844969
"111",0.772557435839467
"112",0.909391453076922
"113",0.870117373993954
"114",0.912686891920793
"115",0.888476386343086
"116",0.919608070720147
"117",0.928720326346719
"118",0.962856419435255
"119",0.939461153686604
"120",0.93877352839231
"121",0.950776957140185
"122",0.949104930497917
"123",0.957778764920251
"124",0.981665167818361
"125",0.865595879096321
"126",0.906550341215602
"127",0.832445821806525
"128",0.958897760965087
"129",0.95936596910463
"130",0.954300137659444
"131",0.969535551937477
"132",0.968803384222967
"133",0.949399850622582
"134",0.866232354864234
"135",0.956787894125709
"136",0.843551618339539
"137",0.828914690342393
"138",0.953672993393367
"139",0.941384836328651
"140",0.953875549270288
"141",0.959287905124051
"142",0.870207933431524
"143",0.924572455532377
"144",0.897264310654823
"145",NA
"146",0.983350303123593
"147",0.98981198250636
"148",0.997115678158055
"149",0.992993136855833
"150",0.979570793460645
