,x1,x2,x3,x4,x5
0,-0.04286197923093345,0.05000018633394835,-0.015755081811221313,-0.006163797784254373,-0.010198382612066964
1,-0.042086885386037026,0.03594248092093612,-0.002640932348916903,-0.00542711117625859,-0.05191859964814323
2,-0.06256473856297691,0.055039286183681056,-0.0087382150151574,-0.0038527138834791256,-0.006522247986516766
3,-0.0485338623668371,0.037433200901432435,-0.010218902347095658,0.005605502903484225,-0.023817638723298656
4,-0.027147057984493995,0.04214617948918901,0.007199118673206823,-0.013802671088088511,-0.00564538921080807
5,-0.04901508414005895,0.03713283363686059,-0.010141294698706619,-0.02220149296483905,-0.034668578056002396
6,-0.06698650521109814,0.043801170070801185,-0.0038388378896343093,0.00015601132181472733,-0.010418638385890518
7,-0.03430895409128426,0.03730763575367747,-0.0017371424834891468,-0.01121360207052931,-0.024178416143695362
8,-0.04311186887571241,0.06461138851331528,-0.004609993206811069,-0.010929494420062323,-0.03204463107327424
9,-0.046677296866657836,0.032413537075626664,-0.004715771055495508,-0.0039767998801990175,-0.005073944766023652
10,-0.02678264576905116,0.047499327407011516,-5.102001171415747e-06,-0.00393140219074988,-0.020157096015458172
11,-0.044939811069608294,0.0652893328369828,-0.0007534767468810517,-0.03409256211489264,-0.022779169098364298
12,-0.07650372708412759,0.034283217619668,-0.0037337186984586906,-0.02118365818914756,-0.023800219175063798
13,-0.023209157613702267,0.06797000432881321,-0.019207081527521513,-0.009347165805648348,-0.04001451004671363
14,-0.06394029772812189,0.016847282198047174,-0.0009338365892236728,-0.016129468202748024,-0.010740221142066946
15,-0.053658744393571954,0.05259233407721492,-0.007902906775092962,-0.01185105627222649,-0.0074088481967380425
16,-0.06696728665349745,0.0315732363892347,-0.004799563537421968,-0.005972438812081697,-0.051755894236961364
17,-0.06411747673730131,0.02792012159261504,-0.01006633246317507,-0.007802810830471572,-0.018006281587731786
18,-0.07395685566134805,0.015925577503048027,-0.004575540936664836,-0.009722808708733946,-0.00706892317580161
19,-0.0615390797346158,0.03551875042353965,-0.014672998020412494,-0.009170727146879968,-0.00834318496668452
20,-0.04434966557012159,0.047761885481270666,-0.001520280970336988,-0.00217792074545286,-0.012706959441264964
21,-0.04709313302862878,0.03849017729044137,0.0007215629244330576,-0.01702728788222885,-0.015308051138445378
22,-0.05228978217701295,0.051616625651604395,-0.0036853250139756624,-0.012231816863277343,-0.022316138931273582
23,-0.07105175449881546,0.01595045400056361,-0.011309074737356336,-0.0204209094848651,-0.021468967279630574
24,-0.06277110818639181,0.01880959181032197,-0.009337850091441603,-0.009243350246106284,-0.037794543014584056
25,-0.07014422481763177,0.07576028651674271,-0.00043901926619582354,-0.01912415030950797,-0.02461665695067496
26,-0.04130394150195421,0.02760716931516071,-0.00316875632691065,-0.00335538589766854,-0.021724599625953037
27,-0.047760395455980216,0.04000594825574255,-0.010885824495220959,-0.010858025724398108,-0.012645958760196757
28,-0.05337491393331634,0.042841258134344876,-0.003578292490137567,-0.0226755315008483,-0.014122498864207036
29,-0.05529391920554635,0.026365443993776484,-0.0031704151750135373,-0.008010382751530312,-0.010642180990899065
30,-0.031442575779949966,0.035318136911917174,-0.003586637089715363,-0.013416283318327027,-0.014735086563272291
31,-0.01784331548311012,0.046142679534030465,0.0019401270955294943,-0.008462058467780378,-0.001505188626707631
32,-0.06481190281220679,-0.01240421859168018,-0.0030010456480767593,-0.017688175210172404,-0.014980225556538733
33,-0.09748912473065398,0.021777927673931975,-0.0012412110210040304,-0.006553679371577105,-0.032611442081896015
34,-0.05088939388398602,0.014709808641116632,-0.0007463314935411671,-0.0033511207654209735,-0.02541643757562475
35,-0.07107652643595509,0.03326642808900466,-0.0008365751591159469,-0.0029300977634905074,-0.021944244789784028
36,-0.05421826584862957,0.033612414842558135,0.0005370187657738985,-0.019276275642982385,-0.017411140182534736
37,-0.046349563376740406,0.03831140805575873,-0.0036842611346704314,-0.006858662879676557,-0.02063732194203315
