,tree_num,feature,value
136,13,x4,0.040466019482983895
139,13,x4,0.03414835392659077
140,13,x1,0.017830914371608664
144,14,x2,0.03729028976437587
145,14,x5,0.052099711638107116
146,14,x4,0.07794434474845502
149,14,x1,0.03272597611521055
152,14,x4,0.038323768406763215
153,14,x5,0.02419367121798066
157,15,x2,0.0641837895252968
158,15,x4,0.0452081012924993
160,15,x4,0.03853892139274506
163,15,x1,0.017433048856969835
164,15,x1,0.024845101183484708
168,16,x2,0.05400463226081409
169,16,x1,0.08070626192851404
170,16,x5,0.03268210455817766
173,16,x1,0.13201809081724836
176,16,x1,0.02379633764556699
178,16,x1,0.24229218908241482
181,17,x2,0.04395022723692188
182,17,x1,0.05408106661205314
186,18,x2,0.053503472114246664
187,18,x1,0.08219573012387826
188,18,x5,0.03488718044428285
191,18,x1,0.08543059251183482
195,19,x2,0.08328562378303317
196,19,x4,0.05581790597505376
198,19,x1,0.025258897624057308
202,20,x2,0.04382239828676471
203,20,x5,0.03482940765121889
206,20,x1,0.014870071947003738
209,21,x2,0.01665005559270527
210,21,x1,0.03888586205931832
211,21,x5,0.019581317484170357
216,22,x2,0.045528127281462716
217,22,x1,0.0323078233649976
219,22,x1,0.22975018489916532
222,22,x4,0.024028504189483435
223,22,x1,0.01980260023875602
227,23,x2,0.05027018180700171
228,23,x1,0.053555558190227504
230,23,x1,0.27696108274054143
234,24,x2,0.07066582588445369
235,24,x1,0.03927095260481783
237,24,x1,0.23312952036824364
240,24,x4,0.02203539658497422
241,24,x5,0.20708681268944062
245,25,x2,0.049416613821281485
246,25,x1,0.03551829798307282
247,25,x5,0.027106370616461817
252,26,x2,0.06039150151961281
253,26,x4,0.036578900742822995
255,26,x1,0.03011810829745165
259,27,x2,0.06444119342115506
260,27,x1,0.07509853448766535
263,27,x4,0.029271666037780086
264,27,x1,0.024938997613902503
268,28,x2,0.06789596197165948
269,28,x4,0.0609278193942806
271,28,x1,0.03345238164005082
275,29,x2,0.05429812746287077
276,29,x5,0.041507782751911915
278,29,x4,0.4689955935892812
281,29,x5,0.0237568575932382
282,29,x1,0.05649384428062565
285,29,x4,0.029387538789341527
288,30,x2,0.06336255280264902
289,30,x1,0.0649004872462734
292,30,x4,0.04296016864241714
295,31,x2,0.06102098640209941
296,31,x1,0.04395635414014265
299,31,x5,0.04774091100753819
301,31,x4,0.10027243870492542
304,32,x2,0.046297617887798403
305,32,x1,0.03756187568190772
307,32,x1,0.13163159255825996
311,33,x2,0.04061739257332597
312,33,x3,0.0623973890980003
313,33,x5,0.03764556269564634
317,33,x1,0.025277518049222847
318,33,x1,0.047176027806593246
321,33,x5,0.22412021725123937
324,34,x2,0.08843333575186163
325,34,x1,0.033495677743470065
328,34,x5,0.023872486614956334
330,34,x1,0.06255129392984704
333,35,x2,0.04633017802627104
334,35,x1,0.04125693570848443
335,35,x5,0.030001021445212883
340,36,x2,0.05026654455095625
341,36,x1,0.040312675552987454
342,36,x5,0.031347867289009734
345,36,x1,0.1554938162843933
348,36,x5,0.035702774191587516
350,36,x1,0.11982285206051257
353,37,x2,0.06398940177370704
354,37,x1,0.034631694200716434
355,37,x5,0.03307880739896163
358,37,x1,0.1261707038474491
362,38,x2,0.0520087050086816
363,38,x4,0.05557162950645311
365,38,x1,0.04636251844598138
369,39,x2,0.07280687417766218
370,39,x1,0.033946288993653595
372,39,x5,0.207752610271419
375,39,x5,0.03348268695603496
376,39,x4,0.036372599820885476
379,39,x1,0.0748880470727098
382,40,x2,0.07239009804409013
383,40,x4,0.053367458925216105
385,40,x1,0.02725718152157608
389,41,x2,0.06611764308369072
390,41,x1,0.04993840656494175
394,42,x2,0.047027963912395165
395,42,x1,0.04489919438180534
396,42,x5,0.04672088488094628
400,42,x5,0.02521913128926967
401,42,x1,0.1667161684609203
405,43,x2,0.048881156730289255
406,43,x1,0.05994762247669416
409,43,x5,0.028332823682429176
411,43,x1,0.08561268724023796
414,44,x2,0.06795957501920702
415,44,x1,0.06564083551250666
416,44,x5,0.034427593497158404
421,45,x2,0.06916937685829072
422,45,x4,0.042364301718271546
424,45,x4,0.018541020718653156
427,45,x1,0.01356197529028813
428,45,x1,0.0274155461919382
432,46,x2,0.05380643461110768
433,46,x5,0.032284708608851354
434,46,x5,0.10033413555193982
437,46,x5,0.04871485585368884
440,46,x4,0.02676694573835048
441,46,x1,0.0180780587133903
445,47,x2,0.04807918881605988
446,47,x1,0.041241825433160684
449,47,x1,0.03489645045893719
450,47,x1,0.03678387853453946
453,47,x5,0.18312206830137276
456,48,x2,0.05750492138171581
457,48,x1,0.03555567250185421
458,48,x5,0.03725195957995464
461,48,x1,0.27397386926594014
465,49,x2,0.044246021231576504
466,49,x4,0.045659372295762446
468,49,x5,0.03671336265396441
471,49,x5,0.029573622128170496
473,49,x1,0.11444046877622482
