,abalone,bike,boston,concrete,cpu,csm,fb,parkinsons,servo,solar,synthetic1,synthetic2,k_group,oob_all
0,[4.804170004184742],[533031.6984748698],[12.255289143820667],[35.122184876530945],[4363.74474669606],[0.724738183521635],[149312.1112044433],[45.80445126395828],[0.78815350185397],[0.6565868905245977],[18.323770719909373],[21.487389447119845],sklearn,oob
1,[4.794439878573201],[655400.1166431387],[16.8849532670608],[44.924903209487624],[18798.524100554987],[0.7866670656797428],[146108.91078698647],[48.64924284760181],[1.710782054203625],[0.7668209276276314],[18.781416234051967],[23.131212945653694],k=0,oob
2,[4.80211206192449],[649114.6705792354],[17.09741162415287],[46.1951614203652],[18062.232831330683],[0.7917763996860736],[146175.96444670446],[49.60182354966041],[1.6808728014098004],[0.7708406671289749],[19.13309007146454],[22.602844278835708],k=1,oob
3,[4.806415042822967],[654402.0657090958],[16.31433689801349],[46.49183813223864],[18116.85651223125],[0.7815708344603718],[145810.12671610157],[49.059400879079796],[1.640582670099119],[0.7835214381827583],[19.261145925048027],[22.72174231327102],k=TreeDepth,oob
4,[3.440081437331351],[216086.97405172317],[3.5584577525217966],[17.624816849594335],[1438.2704121796505],[0.18580683517825636],[44567.65112441317],[37.21516630831173],[0.19763894609660423],[0.4471414962322596],[5.04338765409721],[6.575588623594269],sklearn,all
5,[3.905382477776498],[467614.6911943575],[10.380179751568418],[31.888781086632825],[17867.865122019844],[0.43927588255599964],[133241.58205494002],[41.54307559531024],[1.681153416010634],[0.7628047395170556],[10.290397644778476],[12.476600225871769],k=0,all
6,[3.9216448798936034],[457220.3938811169],[10.214903938725426],[32.18029073453504],[17613.975704790035],[0.4422197865559789],[132897.10116943048],[42.42038886809818],[1.673227644296441],[0.7673761985693082],[10.509345756129374],[12.364299142640178],k=1,all
7,[3.8984292673362924],[464816.46633308346],[9.918929305879512],[32.52607853348566],[17541.31840448828],[0.4396075151026626],[132303.10079420276],[41.76706092305873],[1.6020429821189275],[0.7809913217154928],[10.560960144764755],[12.500523510334641],k=TreeDepth,all
