,0
0,0.9748040240336395
1,0.8250194538311917
2,0.9529094152315203
3,0.8721934654947562
4,0.9387445046182294
5,0.9002804763480293
6,0.9380062480890193
7,0.9187315057876686
8,0.8144609257273382
9,0.9920650138846585
10,0.9888760941499992
11,0.9575145820844934
12,0.9631760333546474
13,0.9604585098880083
14,0.855006746217631
15,0.9164153408283157
16,0.9419731249902623
17,0.9237909718385532
18,0.925923782524008
19,0.9353547411666409
20,0.9576283489731072
21,0.9875689848052556
22,0.9625070406852507
23,0.9550921723188124
24,0.9338949962528055
25,0.9652983644868289
26,0.9310485540933221
27,0.9114353088531911
28,0.9359965250098637
29,0.9292434101756177
30,0.7753993145136631
31,0.9056317434191969
32,0.8846354359476436
33,0.9907028871629974
34,0.9904239981720753
35,0.9777178728386412
36,0.9454523037421252
37,0.9598370850289069
38,0.9365799291503552
39,0.9244314739933985
40,0.9166356484698102
41,0.9858837045916227
42,0.9519762461908677
43,0.9459642849640135
44,0.9536792013033331
45,0.9586649419556623
46,0.972631078430818
47,0.9801823350632668
48,0.8797806194399819
49,0.9562491113123336
50,0.9769321944569499
51,0.9887906060649515
52,0.8728635781701526
53,0.9907786556539536
54,0.8549505842305907
55,0.9833592314417039
56,0.8996375249971044
57,0.9885291267992091
58,0.8837085996772254
59,0.9809474014739221
60,0.9946204417588079
61,0.9717758900651047
62,0.9824579475989688
63,0.9932880049057515
64,0.5885399642827351
65,0.9905249290549822
66,0.9946714302608459
67,0.9677928794970783
68,0.8902148401099437
69,0.9457162956502018
70,0.9943779172964585
71,0.983964092406529
72,0.8948908208890326
73,0.9960768778736195
74,0.9510751004310098
75,0.9764599925739873
76,0.9788898445673435
77,0.9600439953727119
78,0.9790491103834128
79,0.9599558067867239
80,0.9714345228097073
81,0.9922697224534859
82,0.9534979477488871
83,0.9517221607937347
84,0.9097961816473593
85,0.9316250878120171
86,0.9105682115539684
87,0.9378303997219769
88,0.9364597130306739
89,0.95343960680088
90,0.8501296719050516
91,0.9203285813699236
92,0.7900513560620848
93,0.5731059637300753
94,0.983539605907217
95,0.9690106536936289
96,0.955796947243782
97,0.9126868919207929
98,0.9188539596683295
99,0.8942018292313099
100,0.8884763863430861
101,0.9093914530769218
102,0.8989764972703359
103,0.8701173739939543
104,0.7202272365426082
105,0.7725574358394669
106,0.8388989901347479
107,0.771613194396926
108,0.8045174948449689
109,0.8008865636672836
110,0.7653961884296134
111,0.7932897723473185
112,0.8201991612154832
113,0.8018333867702275
114,0.7741827999067088
115,0.9816651678183612
116,0.9628564194352556
117,0.9491049304979169
118,0.9577787649202515
119,0.9394611536866042
120,0.9507769571401848
121,0.8655958790963206
122,0.9287203263467191
123,0.9387735283923101
124,0.9196080707201479
125,0.9588977609650876
126,0.9413848363286512
127,0.9543001376594437
128,0.8435516183395385
129,0.9536729933933664
130,0.8289146903423933
131,0.9688033842229672
132,0.8702079334315236
133,0.9538755492702882
134,0.8662323548642338
135,0.9567878941257089
136,0.9493998506225818
137,0.8324458218065249
138,0.9593659691046297
139,0.906550341215602
140,0.9592879051240513
141,0.924572455532377
142,0.8972643106548234
143,0.9695355519374773
144,
145,0.9971156781580547
146,0.9929931368558333
147,0.9898119825063599
148,0.9833503031235927
149,0.9795707934606448
