,0
0,0.9748040240336395
1,0.8250194538311917
2,0.9529094152315203
3,0.8721934654947562
4,0.9920650138846585
5,0.9888760941499992
6,0.9575145820844934
7,0.9631760333546474
8,0.9576283489731072
9,0.9875689848052556
10,0.9625070406852507
11,0.9550921723188124
12,0.9907028871629974
13,0.9904239981720753
14,0.9777178728386412
15,0.9454523037421252
16,0.9858837045916227
17,0.9519762461908677
18,0.9459642849640135
19,0.9536792013033331
20,0.9788898445673435
21,0.9600439953727119
22,0.9790491103834128
23,0.9599558067867239
24,0.9714345228097073
25,0.9922697224534859
26,0.9105682115539684
27,0.9378303997219769
28,0.9364597130306739
29,0.95343960680088
30,0.9690106536936289
31,0.955796947243782
32,0.9126868919207929
33,0.9816651678183612
34,0.9628564194352556
35,0.9491049304979169
36,0.9577787649202515
37,0.9588977609650876
38,0.9413848363286512
39,0.9543001376594437
40,0.8435516183395385
41,0.9536729933933664
42,0.8289146903423933
43,0.9688033842229672
44,0.8702079334315236
45,0.9538755492702882
46,0.8662323548642338
47,0.9971156781580547
48,0.9929931368558333
49,0.9898119825063599
