,2way,3way,4way,5way,6way,7way,8way,9way,10way
0,0.44219147373104684,0.3040928251315779,0.21452815514619034,0.17249343387277663,0.14445496038732164,0.09809596826803998,0.09851755820475892,0.07374395683676002,0.058830432159921904
1,0.4848818362768748,0.2850688519410218,0.19747927515158983,0.16547116220341274,0.1478617660343271,0.12125158636132304,0.07885826186364747,0.07941724986768503,0.05841906627810181
2,-0.011963892765578662,0.2935871001158835,0.24693281567270642,0.20150058016223515,0.1326493158408544,0.11680001908344254,0.09303741820347973,0.06731808325964693,0.05725261150488177
3,-0.004022655496318881,-0.007230400232120804,0.2366531079331941,0.18781807837421804,0.13869312234376127,0.1307057230614379,0.09184925707170154,0.07567042205987447,0.06168665243083364
4,-0.012197151072296818,-0.008613638289590131,0.00958155437125248,0.17297521649413816,0.12701612399673223,0.08471703992802267,0.12474655298098884,0.0873574911741358,0.06379422759542143
5,-0.000721867385099318,0.007420643852925227,-0.011739573633383779,-0.02103987551824393,0.1336710083378608,0.10615217180634941,0.07320627718135493,0.07265822065088239,0.08851709730138603
6,0.015217458244689007,-0.01866791645099869,-0.0005601348819139397,0.005080948251152387,0.012629930466479602,0.08922237356618073,0.08780688375308021,0.07329311025610821,0.06669711258212546
7,0.005260113733776861,0.003515792586571348,0.009634101603564291,0.011966476287968479,-0.018275988930141016,0.02667343921343192,0.1121280387175251,0.06644682599083182,0.04975017160575164
8,0.006353405166387784,0.014156273647099602,-0.010328201157238502,-0.012864384758235202,-0.014639418004975377,-0.005613894229085067,0.010047229294714431,0.09512479301764643,0.08672941651365912
9,-0.0033971579334818704,0.0005097534119161421,0.001339733127371881,-0.0072625224661969036,0.0028538620674619115,0.009958171366053772,0.01870448351306259,0.008304484851203784,0.057981081040624945
