,corr_shap,corr_ti,perform
75,-0.41340873976535486,-0.31871738283245443,0.47466088014132757
41,-0.405055224288919,-0.41136833752591984,0.903140767048449
81,-0.37778525018546594,-0.3785226802744691,0.5699287530066515
57,-0.3757730353140932,-0.36404532292317593,0.6084944764300229
8,-0.37383811581705767,-0.378046875000346,0.3210474254101616
29,-0.3616353699540512,-0.3581974561214447,0.939100053892498
35,-0.3488300386886269,-0.3531960637415313,0.31653330468262086
84,-0.3365612244610898,-0.33831418145679665,0.3233230090604735
19,-0.31478523553438087,-0.31671331606981834,1.3834630456654382
12,-0.2887376094296603,-0.285265147830515,0.4227862874940957
55,-0.28175770033762854,-0.28743283133597547,1.968645718602125
34,-0.2565749198435775,-0.26124590101866185,0.3687020871052542
90,-0.2528559008523848,-0.25135165650819385,0.5588621374156032
60,-0.2518573216006166,-0.2724486257313568,0.8060295873382595
64,-0.25022243712308956,-0.24711239281638306,0.6677741897059417
46,-0.24584892789504711,-0.2464224201205359,0.5361852590690104
45,-0.23435677204544525,-0.23745915851166624,0.508386477884867
68,-0.22687094262674168,-0.21638916444818287,6.004981869879902
27,-0.1799703894877626,-0.12959928429487327,0.6684754855162817
2,-0.17842595464749977,-0.18359279687916824,1.5291229984584203
50,-0.16450597818132107,-0.1533700209373801,1.1604558507898917
38,-0.16415742722855556,-0.2171940730008482,4.30994339597449
0,-0.15646457981907816,-0.14240008016818084,1.4382993818238596
52,-0.14343539831053262,-0.08994199052473308,0.5164695462509892
56,-0.02981579709927845,0.010712867824691991,0.49288206870972784
6,0.027446325520682192,0.018213426510983077,0.6820199495023873
49,0.07697750291332137,0.07727395736693637,1.4058965101857162
53,0.0812137527650025,0.11386577865079477,0.7453444168406734
83,0.14511522098096957,0.1476897017284675,0.5515504354981723
87,0.19553726474695618,0.2016309363975726,0.30086718103229154
17,0.31872885919808275,0.3716405717437509,0.7544426081733729
47,0.35091249664463037,0.3698645627893299,1.801008077003462
85,0.38338713989396705,0.4008586622968429,1.9282521676228466
1,0.5742468829883536,0.5931211708913705,0.6547995209627677
