,0
0,0.9985337702470132
1,0.9991118601471474
2,0.9984246104032947
3,0.9919967467766726
4,0.9969072682413999
5,0.874528695739103
6,0.9999620064027622
7,0.9995108305096766
8,0.9999830797401217
9,0.9998198296710965
10,0.9999999999999999
11,0.997235165771882
12,0.998554835105061
13,0.9937937265205972
14,0.9881029113797934
15,0.9827514563832037
16,0.9978039671362754
17,0.9932319159591049
18,0.999868743471824
19,0.9977258511784525
20,0.9947499393124365
21,0.9923587330367483
22,0.9983468844118364
23,0.9932555835218231
24,0.9974696646872483
25,1.0
26,0.9995894345149292
