,vendor_amdahl,vendor_apollo,vendor_basf,vendor_bti,vendor_burroughs,vendor_c.r.d,vendor_cambex,vendor_cdc,vendor_dec,vendor_dg,vendor_formation,vendor_four-phase,vendor_gould,vendor_harris,vendor_honeywell,vendor_hp,vendor_ibm,vendor_ipl,vendor_magnuson,vendor_microdata,vendor_nas,vendor_ncr,vendor_perkin-elmer,vendor_prime,vendor_siemens,vendor_sperry,vendor_sratus,vendor_wang,MYCT,MMIN,MMAX,CACH,CHMIN
135,-0.13452456680813593,0.004980917519158013,0.019414569561975233,-0.15248370815334386,-0.7618006642900848,0.008722245944414673,0.46443170252898275,0.031052255833754996,0.05884439166047487,0.14749575779957944,0.035912490261939975,-0.005278537334841469,-0.34971410247736373,-0.2687895040799075,-1.203302976819304,-0.3439124436180435,0.6210969568868773,0.2732723445171829,0.0646426989296445,-0.4551696236033101,0.5405517109039322,0.08764853792372805,0.005492386576805275,-0.0008887625092182897,0.1323333296566981,-0.7454931695290519,-0.002192155612244909,0.004009986923901235,-0.6549041557298302,-0.35476316661752716,-0.28600970476384846,-2.1548987501503674,3.0384820818731137
136,-0.13452456680813593,0.004980917519158013,0.019414569561975233,-0.15248370815334386,-0.7618006642900848,0.008722245944414673,0.46443170252898275,0.031052255833754996,0.05884439166047487,0.14749575779957944,0.035912490261939975,-0.005278537334841469,-0.34971410247736373,-0.2687895040799075,-1.203302976819304,-0.3439124436180435,0.6210969568868773,0.2732723445171829,0.0646426989296445,-0.4551696236033101,0.5405517109039322,0.08764853792372805,0.005492386576805275,-0.0008887625092182897,0.1323333296566981,-0.7454931695290519,-0.002192155612244909,0.004009986923901235,-0.6549041557298302,-0.35476316661752716,-0.28600970476384846,-2.1548987501503674,3.0384820818731137
137,-0.15487953272836635,0.004904414786917571,0.0,-0.07057789703327674,-0.12374393588443011,0.010188096592912163,0.09454950865549784,0.11648193879098956,-0.0008584896371647243,0.0994967377912559,0.029353158176970318,1.6054339575305254,-0.06468422371534804,0.032290356821448894,-0.30759206043359766,-0.17567967514323576,0.4212081293248185,0.8575960790463573,0.05563485721777493,42.32030006498319,0.16781645979459123,0.08432457453665207,-0.015325630252100842,0.00013918254199720993,0.14619689657350055,-0.4014181102294131,0.0,0.0016172053346149432,7.313141567338647,4.955073951481408,-0.7131137192233866,-1.5330659016848787,9.779450411850883
138,-0.12688077631146286,0.00473832991807985,0.0054735817432799835,-0.030287310233841635,-0.4885705806270723,0.009164225428440252,0.12143256620820943,0.009892253822421882,0.04218073304790504,0.28330435856176495,0.05416231256767158,-0.008363368843202362,-0.5754307080814867,-0.3337724578897586,-1.1605699535896454,-0.33011926851492823,0.5308459780030338,0.08312854761894167,-0.02005352548214374,-0.27440000127161884,-2.0897816005545855,0.003273102648615345,0.0002140270666463591,-0.1029502769276068,-0.038560934857034206,-0.3874026002630413,-0.06826796864870388,0.03262794144087395,-0.006735999661068776,-0.5487587253010779,-1.6376133994776987,-2.3806103227568136,-4.49704980557735
139,-0.12688077631146286,0.006894302036355629,-0.00025273764414222947,-0.03481481986069964,-0.561558613207912,0.009677753566968393,0.10620519374779838,-0.003926472401303173,0.011503753595416282,0.2266955734973639,0.04825166707222816,-0.016280035509869034,-0.3771664927808758,-0.2505876073576319,-1.1506755205717303,-0.4564072979766812,0.5543640607661108,0.0795676092513091,-0.017100358052183646,-0.2879074067874513,-1.4434080171870687,-0.0022531736955503515,-0.004974949609145726,-0.16291698405992716,0.0331442698560653,-0.3419123137181489,-0.06258295965977814,0.01437601473617174,1.2370637583167303,-0.46003334912936344,-2.1278850638541353,-2.918921511037973,-4.2450391228237425
140,-0.13359973055982888,0.004980917519158013,0.026207244276332062,-0.020245853528025316,-0.4696163783843017,0.012030689907807958,0.10957492572212216,0.007800010824756699,0.03803360601527381,0.20689316657223306,0.04600313168798233,-0.008363368843202362,-0.6563228283451237,-0.20884648611435896,-1.2069668846772692,-0.27017863923785945,0.4606166026088459,0.08574070017003076,-0.017421224091777834,-0.27440000127161884,-2.856218383330497,0.08748413824975829,-0.004155226744557925,-0.005491397467792803,-0.006596148234043686,-0.511150320291429,-0.04438616592761547,0.05983789275142483,0.021371440040884242,-0.008269447036790785,-2.105634963083442,0.7638608022217465,-4.198313448193078
141,-0.13359973055982888,0.004980917519158013,0.026207244276332062,-0.020245853528025316,-0.4696163783843017,0.012030689907807958,0.10957492572212216,0.007800010824756699,0.03803360601527381,0.20689316657223306,0.04600313168798233,-0.008363368843202362,-0.6563228283451237,-0.20884648611435896,-1.2069668846772692,-0.27017863923785945,0.4606166026088459,0.08574070017003076,-0.017421224091777834,-0.27440000127161884,-2.856218383330497,0.08748413824975829,-0.004155226744557925,-0.005491397467792803,-0.006596148234043686,-0.511150320291429,-0.04438616592761547,0.05983789275142483,0.021371440040884242,-0.008269447036790785,-2.105634963083442,0.7638608022217465,-4.198313448193078
142,-0.12688077631146286,0.006970804768596076,-0.0008082931996977831,-0.04367588074708431,-0.5807267381189947,0.023208056597271414,0.11770667501864322,0.031725319069637256,0.020817837551061053,0.2253949319275735,0.06399535809702514,-0.008363368843202362,-0.41271569913008216,-0.2566185187459621,-0.8628524542572913,-0.39300604260621946,0.5166699751840943,0.13940193434650375,-0.008294850465404215,-0.27440000127161884,-1.845270379174515,-0.06287540255462133,-0.003205718839914956,-0.08111228156052502,-0.0015261271703689455,-0.3537492735845577,-0.07053080756417437,0.018353838713995724,1.1604395615279992,-0.6332521805954145,-1.2872964515864112,-2.8973387556902876,-4.245925917578846
143,-0.13120826169157973,0.00473832991807985,0.02081242570853903,-0.026733832735302783,-0.5599398414710891,0.005656602203711761,0.11057962305041957,0.0016147835908244923,0.037491355781847084,0.26393699661858844,0.04822825927406021,-0.0011913895993179938,-0.7139385532864907,-0.24704578539049726,-0.9808286073358081,-0.6166555792333929,0.4249567010234872,0.09575236245618343,-0.0569195319338575,-0.25057644222757014,-1.539689452103983,0.05266676038335837,-0.0032885600778912558,-0.06822398986296281,-0.009766355339544447,-0.35784926816251555,-0.011683814714127053,0.016070331199053163,1.2590908298062071,1.43198122758335,-0.6712470907281832,-2.739138092562095,-4.843393766935757
144,-0.1379272159399458,0.004980917519158013,0.05442475549796735,-0.020245853528025316,-0.5452610015471592,0.008523066683079469,0.09763369733513022,-0.0065826452788296345,0.034850330140821444,0.19589378833148957,0.043010745061037595,-0.0011913895993179938,-0.5701951424145969,-0.19030949420477813,-1.1632653547455531,-0.41316037354808904,0.40772431350958327,0.09171189468665364,-0.10248171480274652,-0.25057644222757014,-2.0205846818702584,0.044211129317834615,-0.0032885600778912558,-0.023279420555815868,-0.07310748339011565,-0.4566253243387405,-0.011906036936349267,0.015314083227615322,-0.7344783031334361,0.5307156908273677,-1.5670544579421708,0.18136990185662302,-4.824585044707231
