,vendor_amdahl,vendor_apollo,vendor_basf,vendor_bti,vendor_burroughs,vendor_c.r.d,vendor_cambex,vendor_cdc,vendor_dec,vendor_dg,vendor_four-phase,vendor_gould,vendor_harris,vendor_honeywell,vendor_hp,vendor_ibm,vendor_ipl,vendor_magnuson,vendor_microdata,vendor_nas,vendor_ncr,vendor_nixdorf,vendor_perkin-elmer,vendor_prime,vendor_siemens,vendor_sperry,vendor_sratus,vendor_wang,MYCT,MMIN,MMAX,CACH,CHMIN
200,-0.06304568640023275,0.0030253151559650293,-0.00044282669873047653,-0.08288580305490703,-0.5409315999224179,-0.029849816948811066,0.01553512113650244,0.00944825553444005,0.022893814751917558,0.1757497087246659,-0.009925988459500263,-0.13257036244866782,-0.47462531481871234,-0.6825227840957615,-0.19250105211494298,0.6187506231191539,0.04308881919262384,-0.001237570971015609,-0.3058011644183994,0.045100052471894386,0.01486855571525777,0.05725597455140233,-0.09283574694920645,-0.04696977589632469,0.022674813640837264,2.8111192142013914,-0.01231389291383655,0.04284180693123322,-2.5340858519722573,-2.344194528311498,-2.87584452738109,-2.590481252613851,-5.745028155531382
201,-0.06532980171226502,0.0030253151559650293,-0.001083852339756115,-0.10130036888123754,-0.6103757131862031,-0.029849816948811066,0.01553512113650244,0.009834530044243974,0.022893814751917558,0.18208652814594062,-0.009925988459500263,-0.13525550450735452,-0.5266158185222252,-0.6928013555243324,-0.1993961570100479,0.6398032546981012,0.04913109022453431,-0.001237570971015609,-0.3131962427181756,0.048061957233799156,0.017461962308664362,0.05886215215757995,-0.10286138797484749,-0.04696977589632469,0.022674813640837264,2.537813297895476,-0.01231389291383655,0.04284180693123322,-2.5503345186481154,-1.9615117052624855,-2.8958116378336065,-2.5317701908306462,-5.887825970978265
202,-0.06304568640023275,0.0030253151559650293,-0.00044282669873047653,-0.08288580305490703,-0.5409315999224179,-0.029849816948811066,0.01553512113650244,0.00944825553444005,0.022893814751917558,0.1757497087246659,-0.009925988459500263,-0.13257036244866782,-0.47462531481871234,-0.6825227840957615,-0.19250105211494298,0.6187506231191539,0.04308881919262384,-0.001237570971015609,-0.3058011644183994,0.045100052471894386,0.01486855571525777,0.05725597455140233,-0.09283574694920645,-0.04696977589632469,0.022674813640837264,2.8111192142013914,-0.01231389291383655,0.04284180693123322,-2.5340858519722573,-2.344194528311498,-2.87584452738109,-2.590481252613851,-5.745028155531382
203,-0.06532980171226502,0.0030253151559650293,-0.001083852339756115,-0.10130036888123754,-0.6103757131862031,-0.029849816948811066,0.01553512113650244,0.009834530044243974,0.022893814751917558,0.18208652814594062,-0.009925988459500263,-0.13525550450735452,-0.5266158185222252,-0.6928013555243324,-0.1993961570100479,0.6398032546981012,0.04913109022453431,-0.001237570971015609,-0.3131962427181756,0.048061957233799156,0.017461962308664362,0.05886215215757995,-0.10286138797484749,-0.04696977589632469,0.022674813640837264,2.537813297895476,-0.01231389291383655,0.04284180693123322,-2.5503345186481154,-1.9615117052624855,-2.8958116378336065,-2.5317701908306462,-5.887825970978265
204,-0.06532980171226502,0.005290312647150461,0.0004697639026425911,-0.06794625921608045,-0.844613817353065,0.011738436586572636,0.061110198675106045,0.07209893656103317,0.030911326901392328,0.31970444684281585,-0.0012722247681922396,-0.24991339512765992,-0.3780365166657449,-0.7225363251475402,-0.3159113280253158,0.6165018989391031,0.08591855158263915,0.042609437838854736,-0.2509929767136761,0.11468307380867963,0.06856169225969355,0.05017550943446094,0.009288842116402437,0.05334842628204492,-0.017197567692407725,4.875759503392374,-0.07704591062287236,0.04950425793727889,0.7073503745408883,-1.8453263588248903,-2.083736840560813,-2.848246969499776,-6.772660325113093
205,-0.07855300939888735,0.004085859541711231,0.04099162970666867,-0.04607401925456961,-0.4391786841280271,0.020894049332349927,0.1497701773422023,0.053195913231605906,0.03133904248412731,0.2254684996712604,-0.0109457624707997,-0.5531686936744242,-0.2904067124143832,-1.7291274988311671,-0.34408485858083976,0.546954597595894,0.10468270144784572,0.20568421802251752,-0.2892811213195825,0.2837022166922787,0.1036768339724236,0.09033807778285666,0.010672314675081587,-0.10846804651749156,0.07988197329142176,5.322727895902788,-0.010952181428458278,0.06424952863825216,-0.6370373537904148,-2.2316408755609967,-3.4650178969329373,1.1996996070871806,-5.119820048909744
206,-0.07487095303307736,0.006000123803046336,-0.003916593088097704,-0.08921883096590077,-0.893559387919615,0.01599927931111705,0.1485329654013788,0.013675497272390971,0.036108354033849564,0.22654549002969468,-0.01544678134598399,-0.38902776615407225,-0.4455196430270787,-1.034678011767481,-0.7204041486313336,0.6813708717706939,0.16630592844107878,0.1891449952079988,-0.28013005453258516,0.15483857228312875,0.13999176550177012,0.06360486699602441,0.02624411332674059,-0.05046569213382062,-0.0035327827000072596,-0.34945594547889314,1.6983017708274093,0.04429727267835149,2.0813085404014076,-0.6013918388265459,-0.7842846671853212,-2.629187915905578,-3.1929210213849477
207,-0.07626889408685505,-0.016737313699327894,0.044573285550499206,-0.030041267709338723,-0.2758872826280821,-0.013399769551973518,0.04036220246912185,0.010468201394694987,0.05792915226159561,0.1908555628710829,-0.002608807955572772,-0.27169444492918643,-0.43089142041305845,-1.0572669728097852,-0.14733926459704086,0.6317920913893231,0.04578302343555978,0.008782064776741217,-0.21993495643051422,0.1532544135498514,0.04932576147658682,0.02656847630140562,-0.015713778433765955,-0.07729758147261027,0.039839036263284264,-0.35545397001028556,-0.0012857142857142898,-2.216441684680518,-3.8887761995574666,-1.8451817960097714,-1.1382582380133979,0.2874479431070365,-4.022243484366779
208,-0.06304568640023275,-0.013182367724653055,0.0,-0.03411623821634741,-0.331466040563759,-0.029051337684180785,0.001498824961808386,0.006541511366138605,0.06534277514934121,0.14740245028525198,-0.002608807955572772,-0.15579978560548668,-0.27341627369257315,-0.4873990463141383,-0.14287671629131674,0.6873099422494638,0.002354533784572296,0.006331084384584356,-0.1541059031011864,0.03458107467798964,0.02069072365701205,0.04593042236203733,-0.018265975937632586,-0.03294747968268945,0.0062505428709236106,-0.22781378214704384,-0.007569798609918537,-2.2043184458317073,-5.628223628398963,-1.0674060844121824,-1.4785710078884684,-2.1931934046622588,-4.024597701423068
